,228_store_name,232_type_of_store,108_does_the_micro_retailer_has_a_barred_window_,99_does_the_micro_retailer_exhibits_products_outside_,102_does_the_micro_retailer_sells_fresh_products_,184_store_devices,5_change_store_space_last_year,6_change_employees_average_salary_last_year,20_reviews_finances_monthly,49_inventory_records,18_sales_records,155_sales_registers_used_for,19_tax_id,310_burnout,186_internet_connection,210_sales_channels,189_payment_methods,28_prefered_payment_method,31_different_prices_payment_method,271_card_fee,273_platform_extra_charge,274_platform_fee,275_platform_days_receive_money,30_payment_methods_large_purchases,214_customer_relationship_tools,33_credit_to_customers,35_interest_rate,193_sales_planning_tools,227_agreement_ecommerce_platforms,60_services,77_delivery_timeslots,79_delivery_vehicle,64_comission_services,69_why_not_services,311_topups,312_payment_of_utilities,313_home_deliveries,314_reception_delivery_packages,42_willingness_share_inventory_data_suppliers,44_willingness_inventory_management_suppliers,45_willingness_reorder_suppliers,46_willingness_reorder_suppliers_variety,47_willingness_reorder_suppliers_lower_prices,43_willingness_share_sales_data_suppliers,58_willingness_share_sales_data_mse,59_willingness_share_sales_data_mse_better_prices,185_place_orders_suppliers,53_special_conditions_suppliers,278_credit_interest,192_procurement_planning_tools,277_payment_method_suppliers,56_procurement_changes_pandemic,279_changes_procurement_pandemic,161_actions_stockouts,162_inventory_extra_space,163_number_high_perishable_products,249_technology_training,250_technology_investment_operations,251_technology_investment_customers,254_technology_roadmap,260_technology_scalable,261_technology_organization,262_technology_serve_customers,263_technology_secure_sales,264_technology_budget,267_technology_investment_customer_preferences,318_shopkeeper_name
0,Eugene’s Compostura,Tailor,yes,no,no,POS system (i.e. computer + bar code scanner + printer),No cambió,No cambió,yes,Software especializado + computadora,Software especializado + computadora,,yes,no,yes,"Llamada a Teléfono celular,Llamada a Teléfono fijo,Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Transferencia interbancaria",,,,,,,,Redes sociales,no,,Software especializado,no,,,,,,,,,,,,,,,,,,,,,,,no,,Solicitar tiempo al cliente para conseguir el producto,0,0.0,,,,,,,,,,,
1,Frutas y verduras Angy,Grocery store (aka. nanostore),no,yes,yes,Dataphone (i.e. card payments),Aumentó 15%,No cambió,yes,No lo hago,No lo hago,,no,no,yes,WhatsApp,"Efectivo,Transferencia interbancaria",,,,,,,,Aplicación móvil,no,,Software especializado,no,,,,,,,,,,,,,,,,,,,,,,Transferencia interbancaria,no,,"Ofrecer un producto sustituto,Solicitar tiempo al cliente para conseguir el producto",10%,60.0,,,,,,,,,,,
2,Libélula ,Grocery store (aka. nanostore),yes,no,no,"Dataphone (i.e. card payments),POS system (i.e. computer + bar code scanner + printer)",No cambió,No cambió,yes,En Excel,Software especializado + computadora,,no,no,yes,"Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Tarjeta de débito y/o crédito",,,,,,,,Redes sociales,yes,no,Software especializado,no,,,,,,,,,,,,,,,,,,,,,,,no,,Perder la venta,10%,60.0,,,,,,,,,,,
3,Quality fix,Grocery store (aka. nanostore),no,no,no,POS system (i.e. computer + bar code scanner + printer),No cambió,No cambió,yes,Software especializado + computadora,Software especializado + computadora,,yes,no,yes,Llamada a Teléfono fijo,"Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",,,,,,,,Teléfono,no,,Ninguna,no,,,,,,,,,,,,,,,,,,,,,,,,,Ofrecer un producto sustituto,0,0.0,,,,,,,,,,,
4,Artesanías Los Pinos,Grocery store (aka. nanostore),yes,no,no,Smartphone,No cambió,No cambió,yes,En papel,En papel,,yes,no,yes,Llamada a Teléfono celular,"Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",,,,,,,,Teléfono,yes,,Ninguna,no,,,,,,,,,,,,,,,,,,,,,,,yes,,"Informar al proveedor,Solicitar tiempo al cliente para conseguir el producto",0,0.0,,,,,,,,,,,
5,La fête,Cafeteria,no,no,yes,"Dataphone (i.e. card payments),Security cameras,Smartphone",No cambió,No cambió,yes,Software especializado + computadora,Software especializado + computadora,,yes,no,yes,Llamada a Teléfono celular,"Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",,,,,,,,Redes sociales,no,,Ninguna,no,,,,,,,,,,,,,,,,,,,,,,,no,,Ofrecer un producto sustituto,40%,40.0,,,,,,,,,,,
6,Yo reparo,Technology Store,yes,yes,no,Smartphone,No cambió,No cambió,no,En Excel,No lo hago,,yes,no,yes,WhatsApp,"Efectivo,Transferencia interbancaria",,,,,,,,Redes sociales,yes,,Ninguna,no,,,,,,,,,,Algo de acuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,,,,,,,,Ninguna,Transferencia interbancaria,no,,Solicitar tiempo al cliente para conseguir el producto,20%,0.0,,,,,,,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,
7,Miscenlánea Manolos,Grocery store (aka. nanostore),yes,no,yes,"Dataphone (i.e. card payments),POS system (i.e. computer + bar code scanner + printer),Smartphone",Aumentó 50% o más,No cambió,yes,"En Excel,En papel",En papel,,no,no,yes,"Redes sociales (e.g. Facebook, Instagram)","Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",,,,,,,,Redes sociales,yes,no,Software especializado,no,,,,,,,,,,,,,,,,,,,,,,,no,,"Informar al proveedor,Solicitar tiempo al cliente para conseguir el producto",20%,45.0,,,,,,,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,Fernanda
8,Mundo Ciclista,Retailer store,yes,no,no,"Dataphone (i.e. card payments),POS system (i.e. computer + bar code scanner + printer),Smartphone",No cambió,No cambió,yes,Software especializado + computadora,Software especializado + computadora,,yes,no,yes,"Redes sociales (e.g. Facebook, Instagram)","Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",,,,,,,,Redes sociales,yes,no,Software especializado,no,,,,,,,,,,,,,,,,,,,,,,,no,,Solicitar tiempo al cliente para conseguir el producto,20%,0.0,,,,,,,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,Jesús
9,Copias & Max,Grocery store (aka. nanostore),yes,no,no,Smartphone,Aumentó 25%,No cambió,yes,No lo hago,No lo hago,,yes,no,yes,"Llamada a Teléfono celular,Llamada a Teléfono fijo,WhatsApp",Efectivo,,,,,,,,Redes sociales,yes,,Ninguna,,,,,,,,,,,,,,,,,,,,,,,,,,Solicitar tiempo al cliente para conseguir el producto,0,5.0,,,,,,,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,Rocio
10,Desechables y materias primas Alondra,Grocery store (aka. nanostore),yes,yes,no,"POS system (i.e. computer + bar code scanner + printer),Security cameras,Smartphone",No cambió,Dependiente ,yes,Software especializado + computadora,Aplicación móvil (i.e. App) + smartphone,,yes,no,yes,"Llamada a Teléfono celular,Llamada a Teléfono fijo,WhatsApp",Efectivo,,,,,,,,Redes sociales,yes,no,Ninguna,no,Ninguno,,,,No conozco los servicios,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo,Mensajería instantánea (e.g. WhatsApp),,,Software especializado,Efectivo,no,,"Informar al proveedor,Ofrecer un producto sustituto",40%,10.0,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Totalmente en desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Rocio
11,Internet ,internet ,no,no,no,"Dataphone (i.e. card payments),POS system (i.e. computer + bar code scanner + printer),Security cameras,Smartphone",No cambió,No cambió,yes,Software especializado + computadora,Software especializado + computadora,,yes,no,yes,"Llamada a Teléfono celular,Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",,,,,,,,"Aplicación móvil,Redes sociales",yes,no,"Aplicación móvil,Software especializado",no,Ninguno,,,,No creo que represente grandes ingresos,Algo en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Ni de acuerdo ni en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Página web del proveedor,Crédito,9%+,Aplicación móvil,"Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",yes,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",Solicitar tiempo al cliente para conseguir el producto,0,2.0,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Victor 
12,Ferretería Fénix ,Ferretería ,no,yes,no,"Analog cash register,Smartphone",No cambió,Aumentó 15%,no,En papel,Caja registradora (análoga),,yes,no,yes,"Llamada a Teléfono celular,Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Tarjeta de débito y/o crédito",,,,,,,,Redes sociales,no,,Ninguna,no,Ninguno,,,,No creo que represente grandes ingresos,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Mensajería instantánea (e.g. WhatsApp),Crédito,,Ninguna,Transferencia interbancaria,no,,Solicitar tiempo al cliente para conseguir el producto,0,2.0,De acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Alejandra 
13,Polleria,Butcher shop,no,no,yes,Smartphone,No cambió,Aumentó 15%,yes,En papel,En papel,,no,no,no,"Llamada a Teléfono celular,WhatsApp",Efectivo,,,,,,,,Ninguna,no,,Ninguna,no,Ninguno,,,,No quiero involucrarme con la tecnología,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Llamada telefónica,"Consignación,Crédito,Descuento por compras anticipadas,Recompra",0,Ninguna,Efectivo,,,"Ofrecer un producto sustituto,Solicitar tiempo al cliente para conseguir el producto",0,1.0,De acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,En desacuerdo,De acuerdo,Totalmente de acuerdo,Misael 
