,_latitude,_longitude,97_number_of_customers_in_store,268_number_fridges,104_how_many_shelves_does_the_micro_retailer_have,2_current_permanent_employees,4_number_permanent_employees_last_year,103_number_own_fridges,145_number_direct_competitors,24_burnout,272_card_days_receive_money,276_expected_days_informal_credit,36_credit_default_rate,315_frequency_topups,316_frequency_utility_bills,317_home_deliveries,62_frequency_only_services,78_number_home_deliveries_week,172_supplier_frequency
0,19.0535362706,-98.233822273,2,0.0,4,2.0,2.0,2.5,3.0,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
1,19.0535610353,-98.2341421351,0,4.0,8,1.0,1.0,2.5,4.0,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
2,19.058654656,-98.232299887,0,0.0,24,2.0,2.0,2.5,0.0,4.2,0.0,10.0,1.6,9.0,28.5,13.6,10.5,2.0,3.0
3,19.0592929035,-98.2331576513,0,0.0,2,1.0,1.0,2.5,4.0,4.2,0.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
4,19.0595846029,-98.2338639604,0,0.0,16,0.0,0.0,2.5,0.0,4.2,1.0,15.0,1.6,9.0,28.5,13.6,10.5,2.0,3.0
5,19.0595598862,-98.2340100497,0,1.0,2,1.0,1.0,1.0,2.0,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
6,19.0590374022,-98.233027074,1,0.0,2,2.0,2.0,2.5,0.0,4.2,1.0,30.0,1.6,9.0,28.5,13.6,10.5,2.0,3.0
7,19.0607069876,-98.2298178552,0,2.0,12,0.0,0.0,2.5,6.0,4.2,1.0,7.0,1.6,9.0,28.5,13.6,10.5,2.0,3.0
8,19.0594737148,-98.2252770749,0,0.0,8,1.0,1.0,2.5,2.0,4.2,1.0,15.0,1.6,9.0,28.5,13.6,10.5,2.0,3.0
9,19.0588832074,-98.2242125705,0,1.0,5,1.0,1.0,2.5,1.0,4.2,1.0,30.0,1.6,9.0,28.5,13.6,10.5,2.0,3.0
10,19.0203363,-98.2609888,3,0.0,6,1.0,1.0,2.5,3.0,4.2,1.0,1.0,1.0,9.0,28.5,13.6,10.5,2.0,7.0
